日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度
盛岡,,[℃],[W/m2],[W/m2],[W/m2],[g/kg']
1月1日,1,0.1,0.0000000000000000,0.0000000000000000,38.8888888888889000,2.8000000000000000
1月1日,2,-0.4,0.0000000000000000,0.0000000000000000,38.8888888888889000,2.8000000000000000
1月1日,3,-0.4,0.0000000000000000,0.0000000000000000,38.8888888888889000,2.4000000000000000
1月1日,4,-0.9,0.0000000000000000,0.0000000000000000,38.8888888888889000,2.3000000000000000
1月1日,5,-1.2,0.0000000000000000,0.0000000000000000,44.4444444444444000,2.2000000000000000
1月1日,6,-1.3,0.0000000000000000,0.0000000000000000,44.4444444444444000,1.8000000000000000
1月1日,7,-1.7,0.0000000000000000,5.5555555555555600,47.2222222222222000,1.8000000000000000
1月1日,8,-1.4,44.4444444444444000,41.6666666666667000,47.2222222222222000,1.8000000000000000
1月1日,9,-1.5,36.1111111111111000,72.2222222222222000,52.7777777777778000,1.8000000000000000
1月1日,10,-1,22.2222222222222000,91.6666666666667000,44.4444444444444000,1.9000000000000000
1月1日,11,-0.7,80.5555555555555000,152.7777777777780000,52.7777777777778000,1.8000000000000000
1月1日,12,-0.1,763.8888888888890000,88.8888888888889000,88.8888888888889000,2.0000000000000000
1月1日,13,0.6,413.8888888888890000,141.6666666666670000,75.0000000000000000,1.7000000000000000
1月1日,14,0,61.1111111111111000,100.0000000000000000,44.4444444444444000,1.6000000000000000
1月1日,15,-0.6,61.1111111111111000,55.5555555555556000,44.4444444444444000,1.9000000000000000
1月1日,16,-0.8,22.2222222222222000,11.1111111111111000,44.4444444444444000,1.9000000000000000
1月1日,17,-1.2,0.0000000000000000,0.0000000000000000,47.2222222222222000,2.1000000000000000
1月1日,18,-1,0.0000000000000000,0.0000000000000000,47.2222222222222000,1.8000000000000000
1月1日,19,-1.1,0.0000000000000000,0.0000000000000000,50.0000000000000000,2.0000000000000000
1月1日,20,-0.9,0.0000000000000000,0.0000000000000000,50.0000000000000000,1.9000000000000000
1月1日,21,-0.7,0.0000000000000000,0.0000000000000000,50.0000000000000000,1.9000000000000000
1月1日,22,-0.4,0.0000000000000000,0.0000000000000000,52.7777777777778000,1.9000000000000000
1月1日,23,-0.4,0.0000000000000000,0.0000000000000000,55.5555555555556000,1.9000000000000000
1月1日,24,-0.3,0.0000000000000000,0.0000000000000000,55.5555555555556000,2.1000000000000000
1月2日,1,-0.9,0.0000000000000000,0.0000000000000000,55.5555555555556000,2.3000000000000000
1月2日,2,-1,0.0000000000000000,0.0000000000000000,55.5555555555556000,2.3000000000000000
1月2日,3,-1.3,0.0000000000000000,0.0000000000000000,55.5555555555556000,2.4000000000000000
1月2日,4,-1.2,0.0000000000000000,0.0000000000000000,58.3333333333333000,2.5000000000000000
1月2日,5,-1.3,0.0000000000000000,0.0000000000000000,58.3333333333333000,2.5000000000000000
1月2日,6,-2.2,0.0000000000000000,0.0000000000000000,61.1111111111111000,2.4000000000000000
1月2日,7,-2.5,0.0000000000000000,2.7777777777777800,63.8888888888889000,2.4000000000000000
1月2日,8,-2.7,97.2222222222222000,47.2222222222222000,61.1111111111111000,2.4000000000000000
1月2日,9,-0.7,511.1111111111110000,86.1111111111111000,94.4444444444444000,2.6000000000000000
1月2日,10,2.1,541.6666666666670000,113.8888888888890000,94.4444444444444000,2.6000000000000000
1月2日,11,2.6,522.2222222222220000,138.8888888888890000,94.4444444444444000,2.4000000000000000
1月2日,12,4.2,605.5555555555560000,122.2222222222220000,102.7777777777780000,2.6000000000000000
1月2日,13,4.7,502.7777777777780000,127.7777777777780000,94.4444444444444000,2.5000000000000000
1月2日,14,4.9,350.0000000000000000,113.8888888888890000,83.3333333333333000,2.6000000000000000
1月2日,15,4,25.0000000000000000,44.4444444444444000,52.7777777777778000,2.6000000000000000
1月2日,16,3.7,2.7777777777777800,5.5555555555555600,50.0000000000000000,2.5000000000000000
1月2日,17,3,0.0000000000000000,0.0000000000000000,47.2222222222222000,2.6000000000000000
1月2日,18,3,0.0000000000000000,0.0000000000000000,41.6666666666667000,2.7000000000000000
