日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度
岡山,,[℃],[W/m2],[W/m2],[W/m2],[g/kg']
1月1日,1,2.6,0.0000000000000000,0.0000000000000000,80.5555555555555000,3.3000000000000000
1月1日,2,2.9,0.0000000000000000,0.0000000000000000,80.5555555555555000,3.2000000000000000
1月1日,3,2.8,0.0000000000000000,0.0000000000000000,75.0000000000000000,3.2000000000000000
1月1日,4,2.4,0.0000000000000000,0.0000000000000000,72.2222222222222000,3.3000000000000000
1月1日,5,2.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.3000000000000000
1月1日,6,2.8,0.0000000000000000,0.0000000000000000,63.8888888888889000,3.3000000000000000
1月1日,7,2.3,0.0000000000000000,2.7777777777777800,63.8888888888889000,3.2000000000000000
1月1日,8,2.3,138.8888888888890000,41.6666666666667000,63.8888888888889000,3.3000000000000000
1月1日,9,3.7,486.1111111111110000,88.8888888888889000,86.1111111111111000,3.3000000000000000
1月1日,10,5.9,736.1111111111110000,86.1111111111111000,97.2222222222222000,3.3000000000000000
1月1日,11,7.7,663.8888888888890000,125.0000000000000000,97.2222222222222000,2.8000000000000000
1月1日,12,8.5,569.4444444444440000,158.3333333333330000,91.6666666666667000,3.0000000000000000
1月1日,13,9.3,788.8888888888890000,97.2222222222222000,108.3333333333330000,2.6000000000000000
1月1日,14,9.8,450.0000000000000000,150.0000000000000000,91.6666666666667000,2.6000000000000000
1月1日,15,9.6,141.6666666666670000,116.6666666666670000,63.8888888888889000,2.6000000000000000
1月1日,16,8.9,152.7777777777780000,58.3333333333333000,72.2222222222222000,3.3000000000000000
1月1日,17,7.9,0.0000000000000000,13.8888888888889000,69.4444444444444000,3.3000000000000000
1月1日,18,6.9,0.0000000000000000,0.0000000000000000,72.2222222222222000,3.5000000000000000
1月1日,19,6.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.6000000000000000
1月1日,20,6.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.7000000000000000
1月1日,21,6.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.7000000000000000
1月1日,22,6.2,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.6000000000000000
1月1日,23,6.1,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.5000000000000000
1月1日,24,5.9,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.5000000000000000
1月2日,1,5.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.5000000000000000
1月2日,2,5.6,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.5000000000000000
1月2日,3,5.5,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.4000000000000000
1月2日,4,5.5,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.5000000000000000
1月2日,5,5.4,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.4000000000000000
1月2日,6,5.7,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.2000000000000000
1月2日,7,5.1,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.3000000000000000
1月2日,8,4.5,236.1111111111110000,44.4444444444444000,66.6666666666667000,3.6000000000000000
1月2日,9,5.3,58.3333333333333000,86.1111111111111000,47.2222222222222000,3.5000000000000000
1月2日,10,6.7,38.8888888888889000,116.6666666666670000,41.6666666666667000,3.4000000000000000
1月2日,11,6.7,36.1111111111111000,144.4444444444440000,44.4444444444444000,3.0000000000000000
1月2日,12,7,38.8888888888889000,152.7777777777780000,44.4444444444444000,2.9000000000000000
1月2日,13,7.2,38.8888888888889000,150.0000000000000000,44.4444444444444000,2.8000000000000000
1月2日,14,7.5,63.8888888888889000,144.4444444444440000,50.0000000000000000,2.7000000000000000
1月2日,15,7.5,488.8888888888890000,100.0000000000000000,91.6666666666667000,2.8000000000000000
1月2日,16,7.6,400.0000000000000000,55.5555555555556000,94.4444444444444000,2.8000000000000000
1月2日,17,7.4,22.2222222222222000,11.1111111111111000,88.8888888888889000,2.8000000000000000
1月2日,18,6.7,0.0000000000000000,0.0000000000000000,83.3333333333333000,2.9000000000000000
1月2日,19,6,0.0000000000000000,0.0000000000000000,80.5555555555555000,2.9000000000000000
1月2日,20,4.7,0.0000000000000000,0.0000000000000000,75.0000000000000000,3.1000000000000000
1月2日,21,3.6,0.0000000000000000,0.0000000000000000,69.4444444444444000,3.1000000000000000
1月2日,22,2.9,0.0000000000000000,0.0000000000000000,66.6666666666667000,3.1000000000000000
1月2日,23,2.1,0.0000000000000000,0.0000000000000000,58.3333333333333000,3.2000000000000000
1月2日,24,1.6,0.0000000000000000,0.0000000000000000,55.5555555555556000,3.1000000000000000
1月3日,1,1.3,0.0000000000000000,0.0000000000000000,52.7777777777778000,3.1000000000000000
1月3日,2,0.6,0.0000000000000000,0.0000000000000000,47.2222222222222000,3.1000000000000000
1月3日,3,0.6,0.0000000000000000,0.0000000000000000,44.4444444444444000,3.0000000000000000
1月3日,4,0.7,0.0000000000000000,0.0000000000000000,41.6666666666667000,3.1000000000000000
1月3日,5,0.7,0.0000000000000000,0.0000000000000000,36.1111111111111000,3.1000000000000000
1月3日,6,1.1,0.0000000000000000,0.0000000000000000,30.5555555555556000,3.1000000000000000
1月3日,7,1.4,0.0000000000000000,0.0000000000000000,27.7777777777778000,3.1000000000000000
1月3日,8,1.6,19.4444444444444000,25.0000000000000000,25.0000000000000000,3.1000000000000000
1月3日,9,2.6,19.4444444444444000,61.1111111111111000,25.0000000000000000,3.2000000000000000
1月3日,10,3.4,19.4444444444444000,91.6666666666667000,25.0000000000000000,3.3000000000000000
