日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度
宇都宮,,[℃],[W/m2],[W/m2],[W/m2],[g/kg']
1月1日,1,-0.9,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.2000000000000000
1月1日,2,-2,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.1000000000000000
1月1日,3,-2.8,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.1000000000000000
1月1日,4,-4,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.2000000000000000
1月1日,5,-4.2,0.0000000000000000,0.0000000000000000,94.4444444444444000,2.3000000000000000
1月1日,6,-4.6,0.0000000000000000,0.0000000000000000,94.4444444444444000,2.4000000000000000
1月1日,7,-4.7,41.6666666666667000,11.1111111111111000,94.4444444444444000,2.5000000000000000
1月1日,8,-2,444.4444444444440000,52.7777777777778000,97.2222222222222000,2.6000000000000000
1月1日,9,1.2,630.5555555555560000,77.7777777777778000,102.7777777777780000,2.8000000000000000
1月1日,10,3.7,716.6666666666670000,91.6666666666667000,105.5555555555560000,2.6000000000000000
1月1日,11,5.1,755.5555555555560000,100.0000000000000000,108.3333333333330000,2.6000000000000000
1月1日,12,5.7,766.6666666666670000,100.0000000000000000,108.3333333333330000,2.4000000000000000
1月1日,13,6.3,741.6666666666670000,97.2222222222222000,111.1111111111110000,2.4000000000000000
1月1日,14,6.5,677.7777777777780000,86.1111111111111000,113.8888888888890000,2.3000000000000000
1月1日,15,6.2,461.1111111111110000,75.0000000000000000,111.1111111111110000,2.2000000000000000
1月1日,16,5,69.4444444444444000,25.0000000000000000,111.1111111111110000,2.2000000000000000
1月1日,17,3.6,0.0000000000000000,0.0000000000000000,108.3333333333330000,2.3000000000000000
1月1日,18,2.9,0.0000000000000000,0.0000000000000000,108.3333333333330000,2.3000000000000000
1月1日,19,1.2,0.0000000000000000,0.0000000000000000,105.5555555555560000,2.3000000000000000
1月1日,20,1.1,0.0000000000000000,0.0000000000000000,102.7777777777780000,2.3000000000000000
1月1日,21,-0.7,0.0000000000000000,0.0000000000000000,100.0000000000000000,2.4000000000000000
1月1日,22,-1.5,0.0000000000000000,0.0000000000000000,100.0000000000000000,2.3000000000000000
1月1日,23,-2.4,0.0000000000000000,0.0000000000000000,100.0000000000000000,2.3000000000000000
1月1日,24,-3.3,0.0000000000000000,0.0000000000000000,97.2222222222222000,2.2000000000000000
1月2日,1,-3.5,0.0000000000000000,0.0000000000000000,97.2222222222222000,2.1000000000000000
1月2日,2,-4.1,0.0000000000000000,0.0000000000000000,97.2222222222222000,2.1000000000000000
1月2日,3,-5,0.0000000000000000,0.0000000000000000,97.2222222222222000,2.1000000000000000
1月2日,4,-5.1,0.0000000000000000,0.0000000000000000,94.4444444444444000,2.2000000000000000
1月2日,5,-4.7,0.0000000000000000,0.0000000000000000,94.4444444444444000,2.3000000000000000
1月2日,6,-5.5,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.4000000000000000
1月2日,7,-5.6,41.6666666666667000,11.1111111111111000,91.6666666666667000,2.5000000000000000
1月2日,8,-3.7,425.0000000000000000,52.7777777777778000,94.4444444444444000,2.7000000000000000
1月2日,9,0.3,583.3333333333330000,86.1111111111111000,97.2222222222222000,2.8000000000000000
1月2日,10,2.4,669.4444444444440000,102.7777777777780000,102.7777777777780000,2.6000000000000000
1月2日,11,3.8,705.5555555555560000,111.1111111111110000,102.7777777777780000,2.5000000000000000
1月2日,12,5.1,700.0000000000000000,116.6666666666670000,105.5555555555560000,2.3000000000000000
1月2日,13,5.5,688.8888888888890000,108.3333333333330000,108.3333333333330000,2.2000000000000000
1月2日,14,5.5,252.7777777777780000,141.6666666666670000,86.1111111111111000,2.0000000000000000
1月2日,15,5.5,286.1111111111110000,88.8888888888889000,91.6666666666667000,1.9000000000000000
1月2日,16,5,63.8888888888889000,25.0000000000000000,91.6666666666667000,1.9000000000000000
1月2日,17,2.7,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.0000000000000000
1月2日,18,1.4,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.1000000000000000
1月2日,19,0.1,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.2000000000000000
1月2日,20,-1.5,0.0000000000000000,0.0000000000000000,86.1111111111111000,2.3000000000000000
1月2日,21,-1.7,0.0000000000000000,0.0000000000000000,86.1111111111111000,2.4000000000000000
1月2日,22,-1.8,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.3000000000000000
1月2日,23,-1.8,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.3000000000000000
1月2日,24,-1.9,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.2000000000000000
1月3日,1,-3.2,0.0000000000000000,0.0000000000000000,88.8888888888889000,2.2000000000000000
1月3日,2,-4,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.1000000000000000
1月3日,3,-3.4,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.1000000000000000
1月3日,4,-5.1,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.2000000000000000
1月3日,5,-4.8,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.3000000000000000
1月3日,6,-4.6,0.0000000000000000,0.0000000000000000,91.6666666666667000,2.4000000000000000
1月3日,7,-5.5,41.6666666666667000,11.1111111111111000,94.4444444444444000,2.4000000000000000
1月3日,8,-1.9,491.6666666666670000,50.0000000000000000,100.0000000000000000,2.5000000000000000
1月3日,9,0.7,672.2222222222220000,72.2222222222222000,102.7777777777780000,2.6000000000000000
