1,鋼,55,3600,0.46,7900
2,アルミニウム,210,2400,0.88,2700
3,銅,370,3200,0.39,8300
4,ステンレス鋼,15,3500,0.47,7400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
21,岩石,3.1,2400,0.86,2800
22,土壌,1,3300,2.3,1500
