名称,機種,燃料種類,熱源種類,冷房／暖房,特性種類,下限,上限,特性ID,基整促係数,冷却水温度下限,冷却水温度上限
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Cooling,入力比,20,40,Cp_WS_H,1.2,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Cooling,部分負荷特性,0.1,1,Cx_WS_K,1,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Cooling,送水温度特性,5,15,Cw_WS_F,1,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Heating,能力比,0,25,Hq_WS_C,0.95,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Heating,入力比,0,25,Hp_WS_C,1.2,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Heating,送水温度特性,35,50,Hw_WS_A,1,,
WaterChillingUnit_GroundSource_T2,ウォータチリングユニット(水冷式地中熱タイプ2),電力,地盤2,Heating,部分負荷特性,0.1,1,Hx_WS_B,1,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Cooling,能力比,20,40,Cq_WS_E,0.95,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Cooling,入力比,20,40,Cp_WS_H,1.2,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Cooling,部分負荷特性,0.1,1,Cx_WS_K,1,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Cooling,送水温度特性,5,15,Cw_WS_F,1,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Heating,能力比,0,25,Hq_WS_C,0.95,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Heating,入力比,0,25,Hp_WS_C,1.2,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Heating,送水温度特性,35,50,Hw_WS_A,1,,
WaterChillingUnit_GroundSource_T3,ウォータチリングユニット(水冷式地中熱タイプ3),電力,地盤3,Heating,部分負荷特性,0.1,1,Hx_WS_B,1,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Cooling,能力比,20,40,Cq_WS_E,0.95,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Cooling,入力比,20,40,Cp_WS_H,1.2,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Cooling,部分負荷特性,0.1,1,Cx_WS_K,1,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Cooling,送水温度特性,5,15,Cw_WS_F,1,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Heating,能力比,0,25,Hq_WS_C,0.95,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Heating,入力比,0,25,Hp_WS_C,1.2,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Heating,送水温度特性,35,50,Hw_WS_A,1,,
WaterChillingUnit_GroundSource_T4,ウォータチリングユニット(水冷式地中熱タイプ4),電力,地盤4,Heating,部分負荷特性,0.1,1,Hx_WS_B,1,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Cooling,能力比,20,40,Cq_WS_E,0.95,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Cooling,入力比,20,40,Cp_WS_H,1.2,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Cooling,部分負荷特性,0.1,1,Cx_WS_K,1,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Cooling,送水温度特性,5,15,Cw_WS_F,1,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Heating,能力比,0,25,Hq_WS_C,0.95,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Heating,入力比,0,25,Hp_WS_C,1.2,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Heating,送水温度特性,35,50,Hw_WS_A,1,,
WaterChillingUnit_GroundSource_T5,ウォータチリングユニット(水冷式地中熱タイプ5),電力,地盤5,Heating,部分負荷特性,0.1,1,Hx_WS_B,1,,
ScrewChiller,スクリュー冷凍機,電力,水,Cooling,能力比,22,35,Cq_WS_A,0.95,,
ScrewChiller,スクリュー冷凍機,電力,水,Cooling,入力比,22,35,Cp_WS_A,1.2,,
ScrewChiller,スクリュー冷凍機,電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
ScrewChiller,スクリュー冷凍機,電力,水,Cooling,送水温度特性,5,20,Cw_WS_B,1,,
ScrollChiller,スクロール冷凍機,電力,水,Cooling,能力比,25,45,Cq_WS_A,0.95,,
ScrollChiller,スクロール冷凍機,電力,水,Cooling,入力比,25,45,Cp_WS_A,1.2,,
ScrollChiller,スクロール冷凍機,電力,水,Cooling,部分負荷特性,0.1,1,Cx_WS_E,1,,
ScrollChiller,スクロール冷凍機,電力,水,Cooling,送水温度特性,5,25,Cw_WS_B,1,,
TurboChiller,ターボ冷凍機,電力,水,Cooling,能力比,12,33,Cq_WS_B,0.95,,
TurboChiller,ターボ冷凍機,電力,水,Cooling,入力比,12,33,Cp_WS_B,1.2,,
TurboChiller,ターボ冷凍機,電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_B1,1,,
TurboChiller,ターボ冷凍機,電力,水,Cooling,送水温度特性,4,15,Cw_WS_A,1,,
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,能力比,12,33,Cq_WS_B,0.95,,
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,入力比,12,33,Cp_WS_C,1.2,,
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_B3,1,0,24
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_B2,1,24,32
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_B1,1,32,60
TurboChiller_INV,インバータターボ冷凍機,電力,水,Cooling,送水温度特性,4,15,Cw_WS_A,1,,
BrineTurboChiller_Storage,ブラインターボ冷凍機(蓄熱時),電力,水,Cooling,能力比,12,30,Cq_WS_B,0.95,,
BrineTurboChiller_Storage,ブラインターボ冷凍機(蓄熱時),電力,水,Cooling,入力比,12,30,Cp_WS_B,1.2,,
BrineTurboChiller_Storage,ブラインターボ冷凍機(蓄熱時),電力,水,Cooling,部分負荷特性,0.3,1,Cx_WS_C,1,,
BrineTurboChiller_Storage,ブラインターボ冷凍機(蓄熱時),電力,水,Cooling,送水温度特性,-5,0,Cw_WS_C,1,,
BrineTurboChiller,ブラインターボ冷凍機(追掛時),電力,水,Cooling,能力比,12,32,Cq_WS_B,0.95,,
BrineTurboChiller,ブラインターボ冷凍機(追掛時),電力,水,Cooling,入力比,12,32,Cp_WS_B,1.2,,
BrineTurboChiller,ブラインターボ冷凍機(追掛時),電力,水,Cooling,部分負荷特性,0.3,1,Cx_WS_D,1,,
BrineTurboChiller,ブラインターボ冷凍機(追掛時),電力,水,Cooling,送水温度特性,4,12,Cw_WS_D,1,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Cooling,能力比,25,40,Cq_AS_A,0.95,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Cooling,入力比,25,40,Cp_AS_A,1.2,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Cooling,部分負荷特性,0.1,1,Cx_AS_A,1,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Cooling,送水温度特性,-5,5,Cw_AS_A,1,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,能力比,-15,-8,Hq_AS_A1,0.95,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,能力比,-8,4.5,Hq_AS_A2,0.95,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,能力比,4.5,15.5,Hq_AS_A3,0.95,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,入力比,-15,15.5,Hp_AS_A,1.2,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,部分負荷特性,0.1,1,Hx_AS_A,1,,
WaterChillingUnit_AirSource_ICE,ウォータチリングユニット(空冷式氷蓄熱用),電力,空気,Heating,送水温度特性,35,57,Hw_AS_A,1,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Cooling,能力比,13,43,Cq_AS_A,0.95,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Cooling,入力比,5,43,Cp_AS_A,1.2,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Cooling,部分負荷特性,0.1,1,Cx_AS_B,1,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Cooling,送水温度特性,-5,5,Cw_AS_A,1,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,能力比,-15.5,-8,Hq_AS_C1,0.95,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,能力比,-8,4.5,Hq_AS_C2,0.95,,
