記号,説明,木製・樹脂製,,,,金属木複合製・金属樹脂複合製,,,,金属製,,,,ガラス単体,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3WsG16,三層ガラス（Low-E　2枚、断熱ガス、日射遮蔽型、空気層16mm）,1.53 ,1.42 ,0.24 ,0.19 ,1.76 ,1.62 ,0.26 ,0.21 ,2.12 ,1.92 ,0.26 ,0.21 ,0.76 ,0.73 ,0.33 ,0.26 
3WgA06,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層6mm）,2.15 ,2.00 ,0.39 ,0.30 ,2.51 ,2.31 ,0.43 ,0.33 ,2.89 ,2.63 ,0.43 ,0.33 ,1.70 ,1.60 ,0.54 ,0.41 
3WgA07,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層7mm）,2.02 ,1.88 ,0.39 ,0.30 ,2.35 ,2.16 ,0.43 ,0.33 ,2.72 ,2.48 ,0.43 ,0.33 ,1.50 ,1.50 ,0.54 ,0.41 
3WgA08,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層8mm）,1.95 ,1.82 ,0.39 ,0.30 ,2.27 ,2.09 ,0.43 ,0.33 ,2.64 ,2.41 ,0.43 ,0.33 ,1.40 ,1.30 ,0.54 ,0.41 
3WgA09,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層9mm）,1.89 ,1.76 ,0.39 ,0.30 ,2.19 ,2.02 ,0.43 ,0.33 ,2.56 ,2.33 ,0.43 ,0.33 ,1.30 ,1.20 ,0.54 ,0.41 
3WgA10,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層10mm）,1.82 ,1.70 ,0.39 ,0.30 ,2.11 ,1.95 ,0.43 ,0.33 ,2.48 ,2.26 ,0.43 ,0.33 ,1.20 ,1.20 ,0.54 ,0.41 
3WgA11,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層11mm）,1.82 ,1.70 ,0.39 ,0.30 ,2.11 ,1.95 ,0.43 ,0.33 ,2.48 ,2.26 ,0.43 ,0.33 ,1.20 ,1.10 ,0.54 ,0.41 
3WgA12,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層12mm）,1.76 ,1.64 ,0.39 ,0.30 ,2.03 ,1.87 ,0.43 ,0.33 ,2.40 ,2.18 ,0.43 ,0.33 ,1.10 ,1.00 ,0.54 ,0.41 
3WgA13,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層13mm）,1.69 ,1.58 ,0.39 ,0.30 ,1.95 ,1.80 ,0.43 ,0.33 ,2.32 ,2.11 ,0.43 ,0.33 ,1.00 ,1.00 ,0.54 ,0.41 
3WgA14,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層14mm）,1.68 ,1.57 ,0.39 ,0.30 ,1.94 ,1.79 ,0.43 ,0.33 ,2.31 ,2.10 ,0.43 ,0.33 ,0.99 ,0.95 ,0.54 ,0.41 
3WgA15,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層15mm）,1.66 ,1.54 ,0.39 ,0.30 ,1.91 ,1.76 ,0.43 ,0.33 ,2.28 ,2.07 ,0.43 ,0.33 ,0.95 ,0.91 ,0.54 ,0.41 
3WgA16,三層ガラス（Low-E　2枚、乾燥空気、日射取得型、空気層16mm）,1.64 ,1.53 ,0.39 ,0.30 ,1.88 ,1.74 ,0.43 ,0.33 ,2.25 ,2.05 ,0.43 ,0.33 ,0.92 ,0.88 ,0.54 ,0.41 
3WsA06,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層6mm）,2.15 ,2.00 ,0.24 ,0.19 ,2.51 ,2.31 ,0.26 ,0.21 ,2.89 ,2.63 ,0.26 ,0.21 ,1.70 ,1.60 ,0.33 ,0.26 
3WsA07,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層7mm）,2.02 ,1.88 ,0.24 ,0.19 ,2.35 ,2.16 ,0.26 ,0.21 ,2.72 ,2.48 ,0.26 ,0.21 ,1.50 ,1.50 ,0.33 ,0.26 
3WsA08,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層8mm）,1.95 ,1.82 ,0.24 ,0.19 ,2.27 ,2.09 ,0.26 ,0.21 ,2.64 ,2.41 ,0.26 ,0.21 ,1.40 ,1.30 ,0.33 ,0.26 
3WsA09,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層9mm）,1.89 ,1.76 ,0.24 ,0.19 ,2.19 ,2.02 ,0.26 ,0.21 ,2.56 ,2.33 ,0.26 ,0.21 ,1.30 ,1.20 ,0.33 ,0.26 
3WsA10,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層10mm）,1.82 ,1.70 ,0.24 ,0.19 ,2.11 ,1.95 ,0.26 ,0.21 ,2.48 ,2.26 ,0.26 ,0.21 ,1.20 ,1.20 ,0.33 ,0.26 
3WsA11,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層11mm）,1.82 ,1.70 ,0.24 ,0.19 ,2.11 ,1.95 ,0.26 ,0.21 ,2.48 ,2.26 ,0.26 ,0.21 ,1.20 ,1.10 ,0.33 ,0.26 
3WsA12,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層12mm）,1.76 ,1.64 ,0.24 ,0.19 ,2.03 ,1.87 ,0.26 ,0.21 ,2.40 ,2.18 ,0.26 ,0.21 ,1.10 ,1.00 ,0.33 ,0.26 
3WsA13,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層13mm）,1.69 ,1.58 ,0.24 ,0.19 ,1.95 ,1.80 ,0.26 ,0.21 ,2.32 ,2.11 ,0.26 ,0.21 ,1.00 ,1.00 ,0.33 ,0.26 
3WsA14,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層14mm）,1.68 ,1.57 ,0.24 ,0.19 ,1.94 ,1.79 ,0.26 ,0.21 ,2.31 ,2.10 ,0.26 ,0.21 ,0.99 ,0.95 ,0.33 ,0.26 
3WsA15,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層15mm）,1.66 ,1.54 ,0.24 ,0.19 ,1.91 ,1.76 ,0.26 ,0.21 ,2.28 ,2.07 ,0.26 ,0.21 ,0.95 ,0.91 ,0.33 ,0.26 
3WsA16,三層ガラス（Low-E　2枚、乾燥空気、日射遮蔽型、空気層16mm）,1.64 ,1.53 ,0.24 ,0.19 ,1.88 ,1.74 ,0.26 ,0.21 ,2.25 ,2.05 ,0.26 ,0.21 ,0.92 ,0.88 ,0.33 ,0.26 
3LgG06,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層6mm）,2.15 ,2.00 ,0.42 ,0.32 ,2.51 ,2.31 ,0.47 ,0.35 ,2.89 ,2.63 ,0.47 ,0.35 ,1.70 ,1.60 ,0.59 ,0.44 
3LgG07,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層7mm）,2.09 ,1.94 ,0.42 ,0.32 ,2.43 ,2.24 ,0.47 ,0.35 ,2.81 ,2.55 ,0.47 ,0.35 ,1.60 ,1.50 ,0.59 ,0.44 
3LgG08,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層8mm）,2.02 ,1.88 ,0.42 ,0.32 ,2.35 ,2.16 ,0.47 ,0.35 ,2.72 ,2.48 ,0.47 ,0.35 ,1.50 ,1.40 ,0.59 ,0.44 
3LgG09,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層9mm）,1.95 ,1.82 ,0.42 ,0.32 ,2.27 ,2.09 ,0.47 ,0.35 ,2.64 ,2.41 ,0.47 ,0.35 ,1.40 ,1.30 ,0.59 ,0.44 
3LgG10,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層10mm）,1.89 ,1.76 ,0.42 ,0.32 ,2.19 ,2.02 ,0.47 ,0.35 ,2.56 ,2.33 ,0.47 ,0.35 ,1.30 ,1.20 ,0.59 ,0.44 
3LgG11,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層11mm）,1.89 ,1.76 ,0.42 ,0.32 ,2.19 ,2.02 ,0.47 ,0.35 ,2.56 ,2.33 ,0.47 ,0.35 ,1.30 ,1.20 ,0.59 ,0.44 
3LgG12,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層12mm）,1.82 ,1.70 ,0.42 ,0.32 ,2.11 ,1.95 ,0.47 ,0.35 ,2.48 ,2.26 ,0.47 ,0.35 ,1.20 ,1.10 ,0.59 ,0.44 
3LgG13,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層13mm）,1.82 ,1.70 ,0.42 ,0.32 ,2.11 ,1.95 ,0.47 ,0.35 ,2.48 ,2.26 ,0.47 ,0.35 ,1.20 ,1.10 ,0.59 ,0.44 
3LgG14,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層14mm）,1.76 ,1.64 ,0.42 ,0.32 ,2.03 ,1.87 ,0.47 ,0.35 ,2.40 ,2.18 ,0.47 ,0.35 ,1.10 ,1.10 ,0.59 ,0.44 
3LgG15,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層15mm）,1.76 ,1.64 ,0.42 ,0.32 ,2.03 ,1.87 ,0.47 ,0.35 ,2.40 ,2.18 ,0.47 ,0.35 ,1.10 ,1.00 ,0.59 ,0.44 
3LgG16,三層ガラス（Low-E　1枚、断熱ガス、日射取得型、空気層16mm）,1.76 ,1.64 ,0.42 ,0.32 ,2.03 ,1.87 ,0.47 ,0.35 ,2.40 ,2.18 ,0.47 ,0.35 ,1.10 ,1.00 ,0.59 ,0.44 
3LsG06,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層6mm）,2.15 ,2.00 ,0.27 ,0.21 ,2.51 ,2.31 ,0.30 ,0.23 ,2.89 ,2.63 ,0.30 ,0.23 ,1.70 ,1.60 ,0.37 ,0.29 
3LsG07,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層7mm）,2.09 ,1.94 ,0.27 ,0.21 ,2.43 ,2.24 ,0.30 ,0.23 ,2.81 ,2.55 ,0.30 ,0.23 ,1.60 ,1.50 ,0.37 ,0.29 
3LsG08,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層8mm）,2.02 ,1.88 ,0.27 ,0.21 ,2.35 ,2.16 ,0.30 ,0.23 ,2.72 ,2.48 ,0.30 ,0.23 ,1.50 ,1.40 ,0.37 ,0.29 
