áTbä‚å©ëÚ (59)-A4,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-2.1,0,0,0,0
-3.9,0,0,0,0
-4,0,0,0,0
-5.7,0,0,0,0
-5.6,0,0,0,0
2.6,0.01,0.01,0,0
3.3,0.67,0.17,7.5,-49.9
3.8,0.66,0.35,15,-38
4.8,0.15,0.37,20.7,-24.7
5.9,1.5,0.56,24,-10.1
6,0.52,0.59,24.5,5.1
5.2,0.07,0.33,22.1,20
4,0.9,0.42,17.1,33.8
4.1,0.23,0.19,10.1,46.2
4.5,0.04,0.03,1.5,57.2
5.3,0,0,0,0
6.2,0,0,0,0
5.8,0,0,0,0
4.5,0,0,0,0
5.1,0,0,0,0
4.5,0,0,0,0
4.2,0,0,0,0
1.8,0,0,0,0
1.4,0,0,0,0
0.6,0,0,0,0
0.3,0,0,0,0
-1.1,0,0,0,0
-1.4,0,0,0,0
-1.4,0,0,0,0
-1.9,0.01,0.01,0,0
-2.2,0.17,0.12,7.5,-50.1
-2.8,0.22,0.3,15.1,-38.2
-3.1,0.64,0.51,20.8,-24.9
-3,0.28,0.53,24.1,-10.2
-3.2,0.19,0.47,24.6,5
-3.6,0.19,0.43,22.3,20
-4.4,0.1,0.26,17.3,33.8
-4.6,0.11,0.15,10.3,46.2
-5.1,0.04,0.03,1.7,57.2
-5.5,0,0,0,0
-5.4,0,0,0,0
-5.5,0,0,0,0
-5.8,0,0,0,0
-5.9,0,0,0,0
-5.7,0,0,0,0
-6,0,0,0,0
-5.9,0,0,0,0
-6.3,0,0,0,0
-6.5,0,0,0,0
-6.8,0,0,0,0
-6.8,0,0,0,0
-7.3,0,0,0,0
-6.7,0,0,0,0
-7,0.01,0.01,0,0
-7.7,0.35,0.15,7.6,-50.2
-6.6,0.52,0.35,15.2,-38.3
-5.7,0.57,0.51,21,-25
-4.7,1.68,0.55,24.3,-10.3
-4.3,2.52,0.42,24.8,4.9
-4.6,0.3,0.48,22.4,19.9
-4.9,0.41,0.4,17.5,33.8
-5.6,1.18,0.23,10.5,46.2
-6.5,0.09,0.04,1.9,57.2
-6.8,0,0,0,0
-6.4,0,0,0,0
-6.9,0,0,0,0
-7.5,0,0,0,0
-8.3,0,0,0,0
-8.1,0,0,0,0
-7.9,0,0,0,0
-7.4,0,0,0,0
-7.5,0,0,0,0
-7.7,0,0,0,0
-7.9,0,0,0,0
-7.9,0,0,0,0
-7.3,0,0,0,0
-8.6,0,0,0,0
-9.4,0.01,0.02,0,0
-8.5,1.82,0.15,7.6,-50.4
-6.8,2.64,0.23,15.3,-38.5
-5.7,3.17,0.24,21.1,-25.1
-5.1,2.52,0.41,24.4,-10.5
-4.4,2.53,0.42,25,4.9
-4.6,2.84,0.32,22.6,19.9
-4.5,2.9,0.23,17.7,33.8
-4.9,1.77,0.21,10.6,46.2
-6.1,0.25,0.06,2.1,57.2
-7.2,0,0,0,0
-7.6,0,0,0,0
-8.2,0,0,0,0
-8.2,0,0,0,0
-8,0,0,0,0
-7.7,0,0,0,0
-8,0,0,0,0
-8.9,0,0,0,0
-10,0,0,0,0
-11.9,0,0,0,0
-12,0,0,0,0
-12.5,0,0,0,0
-11.6,0,0,0,0
-10.9,0,0,0,0
-8.2,0.01,0.01,0,0
-7.8,0.62,0.18,7.7,-50.6
-9.8,0.15,0.26,15.4,-38.7
-8,0.18,0.4,21.2,-25.3
-7,0.13,0.42,24.6,-10.6
-7.1,0.1,0.41,25.1,4.8
-6,0.03,0.28,22.8,19.8
-7.1,0.03,0.21,17.9,33.8
-7.3,0.04,0.12,10.8,46.2
-7.7,0.04,0.03,2.3,57.3
-8.3,0,0,0,0
-8.7,0,0,0,0
-9,0,0,0,0
-8.5,0,0,0,0
-9.4,0,0,0,0
-10,0,0,0,0
-9.4,0,0,0,0
-9.6,0,0,0,0
-9.6,0,0,0,0
-9.8,0,0,0,0
-9.8,0,0,0,0
-9.4,0,0,0,0
-9.6,0,0,0,0
-9.7,0,0,0,0
-9.9,0.01,0.01,0,0
-9.2,0.08,0.1,7.8,-50.7
-8.6,0.12,0.25,15.5,-38.8
-8.5,0.06,0.28,21.3,-25.4
-8.7,0.07,0.36,24.7,-10.7
-8.8,0.04,0.33,25.3,4.7
-8,0.06,0.3,23,19.8
-8.3,0.07,0.25,18.1,33.8
-8.4,0.06,0.13,11,46.2
-8.7,0.01,0.02,2.4,57.3
-9.2,0,0,0,0
-9.8,0,0,0,0
-10.3,0,0,0,0
-9.9,0,0,0,0
-9.7,0,0,0,0
-9.9,0,0,0,0
-11,0,0,0,0
-9.7,0,0,0,0
-9.7,0,0,0,0
-9.5,0,0,0,0
-9.2,0,0,0,0
-9.6,0,0,0,0
-9.5,0,0,0,0
-9.4,0,0,0,0
-9.5,0.01,0.01,0,0
-11.1,1.74,0.15,7.9,-50.9
-8.6,0.56,0.36,15.6,-39
-8.1,1.45,0.51,21.5,-25.6
-8.2,0.2,0.48,24.9,-10.8
-8,0.77,0.65,25.5,4.6
-7.8,0.15,0.42,23.2,19.8
-8,0.15,0.33,18.3,33.8
-8.2,0.25,0.22,11.2,46.3
-8.4,0.17,0.04,2.6,57.4
-9.1,0,0,0,0
-10.9,0,0,0,0
